Student ID,Course,School,Sex,Address Type,Final Grade,Result,Passed,Failed,Risk Score,Risk Band,Segment,Flagged At Risk,Prediction Outcome,Past Failures,Has Past Failure,Absences,Absence Band,Study Time,Wants Higher Education,Extra School Support,Going Out
1,Mathematics,Gabriel Pereira,Female,Urban,6,Fail,0,1,0.5381,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,6,5-10,2 - 2 to 5 hours,Yes,Yes,4 - High
2,Mathematics,Gabriel Pereira,Female,Urban,6,Fail,0,1,0.464,Elevated,B - Steady middle,Yes,True positive (correctly flagged),0,No,4,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
3,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.6376,High,B - Steady middle,Yes,"False positive (flagged, passed)",3,Yes,10,5-10,2 - 2 to 5 hours,Yes,Yes,2 - Low
4,Mathematics,Gabriel Pereira,Female,Urban,15,Pass,1,0,0.3562,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,3 - 5 to 10 hours,Yes,No,2 - Low
5,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.3623,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,No,2 - Low
6,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.4543,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,10,5-10,2 - 2 to 5 hours,Yes,No,2 - Low
7,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.5491,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,4 - High
8,Mathematics,Gabriel Pereira,Female,Urban,6,Fail,0,1,0.4872,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),0,No,6,5-10,2 - 2 to 5 hours,Yes,Yes,4 - High
9,Mathematics,Gabriel Pereira,Male,Urban,19,Pass,1,0,0.3468,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,2 - Low
10,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.329,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,1 - Very low
11,Mathematics,Gabriel Pereira,Female,Urban,9,Fail,0,1,0.3433,Moderate,A - Supported achievers,No,"False negative (missed, failed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,3 - Medium
12,Mathematics,Gabriel Pereira,Female,Urban,12,Pass,1,0,0.4442,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,4,1-4,3 - 5 to 10 hours,Yes,No,2 - Low
13,Mathematics,Gabriel Pereira,Male,Urban,14,Pass,1,0,0.1898,Low,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,1 - Under 2 hours,Yes,No,3 - Medium
14,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.3073,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,3 - Medium
15,Mathematics,Gabriel Pereira,Male,Urban,16,Pass,1,0,0.4332,Elevated,D - High-risk repeaters,Yes,"False positive (flagged, passed)",0,No,0,None (0),3 - 5 to 10 hours,Yes,No,2 - Low
16,Mathematics,Gabriel Pereira,Female,Urban,14,Pass,1,0,0.4107,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,1 - Under 2 hours,Yes,No,4 - High
17,Mathematics,Gabriel Pereira,Female,Urban,14,Pass,1,0,0.3334,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,6,5-10,3 - 5 to 10 hours,Yes,No,3 - Medium
18,Mathematics,Gabriel Pereira,Female,Urban,10,Pass,1,0,0.4172,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,Yes,2 - Low
19,Mathematics,Gabriel Pereira,Male,Urban,5,Fail,0,1,0.762,High,C - Disengaged social,Yes,True positive (correctly flagged),3,Yes,16,More than 10,1 - Under 2 hours,Yes,No,5 - Very high
20,Mathematics,Gabriel Pereira,Male,Urban,10,Pass,1,0,0.2298,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,1 - Under 2 hours,Yes,No,3 - Medium
21,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.2041,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,1 - Very low
22,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.2642,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),1 - Under 2 hours,Yes,No,2 - Low
23,Mathematics,Gabriel Pereira,Male,Urban,16,Pass,1,0,0.2419,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,2 - 2 to 5 hours,Yes,No,1 - Very low
24,Mathematics,Gabriel Pereira,Male,Urban,12,Pass,1,0,0.5993,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,4 - High
25,Mathematics,Gabriel Pereira,Female,Rural,8,Fail,0,1,0.3769,Moderate,A - Supported achievers,No,"False negative (missed, failed)",0,No,2,1-4,3 - 5 to 10 hours,Yes,Yes,2 - Low
26,Mathematics,Gabriel Pereira,Female,Urban,8,Fail,0,1,0.5914,Elevated,A - Supported achievers,Yes,True positive (correctly flagged),2,Yes,14,More than 10,1 - Under 2 hours,Yes,No,2 - Low
27,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.3374,Moderate,B - Steady middle,No,"True negative (not flagged, passed)",0,No,2,1-4,1 - Under 2 hours,Yes,No,2 - Low
28,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.4472,Elevated,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,4,1-4,1 - Under 2 hours,Yes,No,4 - High
29,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.27,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,4,1-4,2 - 2 to 5 hours,Yes,Yes,3 - Medium
30,Mathematics,Gabriel Pereira,Male,Urban,11,Pass,1,0,0.721,High,C - Disengaged social,Yes,"False positive (flagged, passed)",0,No,16,More than 10,2 - 2 to 5 hours,Yes,No,5 - Very high
31,Mathematics,Gabriel Pereira,Male,Urban,12,Pass,1,0,0.3384,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,2 - Low
32,Mathematics,Gabriel Pereira,Male,Urban,17,Pass,1,0,0.2746,Moderate,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,1 - Very low
33,Mathematics,Gabriel Pereira,Male,Rural,16,Pass,1,0,0.494,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,2 - Low
34,Mathematics,Gabriel Pereira,Male,Urban,12,Pass,1,0,0.4297,Elevated,B - Steady middle,Yes,"False positive (flagged, passed)",0,No,0,None (0),2 - 2 to 5 hours,Yes,No,2 - Low
35,Mathematics,Gabriel Pereira,Male,Urban,15,Pass,1,0,0.404,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,0,None (0),1 - Under 2 hours,Yes,No,3 - Medium
36,Mathematics,Gabriel Pereira,Female,Urban,6,Fail,0,1,0.4232,Elevated,B - Steady middle,Yes,True positive (correctly flagged),0,No,0,None (0),1 - Under 2 hours,Yes,No,1 - Very low
37,Mathematics,Gabriel Pereira,Male,Urban,18,Pass,1,0,0.1961,Low,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,2,1-4,3 - 5 to 10 hours,Yes,No,3 - Medium
38,Mathematics,Gabriel Pereira,Male,Rural,15,Pass,1,0,0.4091,Elevated,A - Supported achievers,No,"True negative (not flagged, passed)",0,No,7,5-10,3 - 5 to 10 hours,Yes,No,3 - Medium
39,Mathematics,Gabriel Pereira,Female,Rural,11,Pass,1,0,0.6733,High,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,2,1-4,3 - 5 to 10 hours,Yes,Yes,2 - Low
40,Mathematics,Gabriel Pereira,Female,Rural,13,Pass,1,0,0.5953,Elevated,A - Supported achievers,Yes,"False positive (flagged, passed)",0,No,8,5-10,1 - Under 2 hours,Yes,Yes,1 - Very low
